Store,Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg),Beverage_prep, Total Fat (g),Trans Fat (g) , Sodium (mg), Total Carbohydrates (g) , Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Caffeine (mg)
Dunkin,Frozen Chocolate,Pink Velvet Swirl Frozen Chocolate - Large,Large,900,18,13,0,40,380,172,2,159,144,12,3,707,397,1,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Pink Velvet Swirl Frozen Chocolate - Medium,Medium,690,14,10,0,30,290,132,2,122,110,9,2,551,301,1,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Pink Velvet Swirl Frozen Chocolate - Small,Small,500,11,8,0,25,190,93,1,85,77,6,1,398,207,1,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Toasted White Chocolate Swirl Frozen Chocolate - Large,Large,900,17,13,0,40,380,173,1,160,144,11,3,686,415,0,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Toasted White Chocolate Swirl Frozen Chocolate - Medium,Medium,690,14,10,0,30,290,133,1,123,111,9,2,535,319,0,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Toasted White Chocolate Swirl Frozen Chocolate - Small,Small,500,11,8,0,25,200,94,1,86,77,6,1,386,225,0,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Butter Pecan Swirl Frozen Chocolate - Large,Large,900,17,13,0,40,570,175,1,162,144,12,3,657,419,0,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Butter Pecan Swirl Frozen Chocolate - Medium,Medium,700,14,10,0,30,430,134,1,124,111,9,2,513,322,0,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Butter Pecan Swirl Frozen Chocolate - Small,Small,500,11,8,0,25,290,95,1,87,77,6,1,372,227,0,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Caramel Swirl Frozen Chocolate - Large,Large,900,17,12,0,40,380,176,1,165,148,11,3,825,392,0,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Caramel Swirl Frozen Chocolate - Medium,Medium,700,14,10,0,35,290,135,1,126,114,9,2,639,302,0,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Caramel Swirl Frozen Chocolate - Small,Small,500,11,8,0,30,200,95,1,88,80,6,1,456,213,0,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,French Vanilla Swirl Frozen Chocolate - Large,Large,900,17,12,0,40,370,175,1,162,144,11,3,788,372,0,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,French Vanilla Swirl Frozen Chocolate - Medium,Medium,700,14,10,0,35,280,135,1,124,111,9,2,612,287,0,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,French Vanilla Swirl Frozen Chocolate - Small,Small,500,11,8,0,30,190,95,1,87,77,6,1,438,204,0,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Frozen Chocolate - Large,Large,890,18,13,0,35,330,175,4,158,148,10,3,829,281,2,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Frozen Chocolate - Medium,Medium,690,15,10,0,30,250,134,3,121,113,7,2,643,214,2,,,,,,,,,,,,,
Dunkin,Frozen Chocolate,Frozen Chocolate - Small,Small,490,11,8,0,25,170,94,2,84,79,5,1,458,149,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Pink Velvet Swirl Frozen Coffee with Cream - Large,Large,1110,40,22,1.5,125,290,176,1,166,155,11,2,2162,352,3,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Pink Velvet Swirl Frozen Coffee with Cream - Medium,Medium,850,31,17,1,95,220,135,1,127,119,8,2,1642,267,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Pink Velvet Swirl Frozen Coffee with Cream - Small,Small,600,22,12,0.5,70,150,95,1,89,83,6,1,1125,184,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Pink Velvet Swirl Frozen Coffee with Skim Milk - Large,Large,820,6,3.5,0,25,240,180,1,170,155,12,2,2202,411,3,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Pink Velvet Swirl Frozen Coffee with Skim Milk - Medium,Medium,640,5,3,0,20,180,138,1,130,119,9,2,1673,311,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Pink Velvet Swirl Frozen Coffee with Skim Milk - Small,Small,460,5,3,0,20,125,97,1,91,83,6,1,1145,214,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Pink Velvet Swirl Frozen Coffee with Whole Milk - Large,Large,870,11,7,0,40,240,180,1,170,155,11,3,2158,394,3,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Pink Velvet Swirl Frozen Coffee with Whole Milk - Medium,Medium,680,9,6,0,30,180,138,1,130,119,9,2,1639,299,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Pink Velvet Swirl Frozen Coffee with Whole Milk - Small,Small,490,8,5,0,25,125,97,1,90,83,6,1,1123,205,1,,,,,,,,,,,,,
